"","2000","2001","2002","2003"
"Ganges",8.02354289622261,7.77914325049362,8.62635636877198,4.36642252054782
"Mekong",0.109461028612836,0.139356162753815,0.156090936829461,0.151743516822594
"Irawaddy",0.0371043703239136,0.0357549287007207,0.0392722156074841,0.0333374684673469
"Luni_ext",NA,NA,NA,NA
"Indus",37.1621203042468,28.1295195460713,33.4514165405172,22.1681041623555
"Amu_Darya",14.133088689431,13.579081216475,10.4613933990714,8.69617516250807
"Brahmaputra",0.0740731754620832,0.0933746885133977,0.0789915799012528,0.0619588764774307
"Syr_Darya",9.28406486101215,8.61172219262953,9.40191636909313,6.70117005586439
"Salween",0.0627789733916702,0.0741256712767522,0.077601304446349,0.0660578422602428
"Tarim",7.69590839814103,6.95315539148132,7.34648395394827,5.62337018389764
"Ili",12.3651103602209,12.6276618381568,12.2452768699204,13.9615099934745
"Inner_Tibetan_Plateau",0.015432707669496,0.0216014161655995,0.00616876275494503,0.00643480065274182
"Yangtze",0.761364137122431,2.15326181229529,1.02575560400421,1.18766207400414
"Inner_Tibetan_Plateau_extended",4.43155051808119,5.88849486601434,2.84967752366662,3.75513396244903
"Yellow",12.1151047170576,10.4396010490992,14.3717623220523,9.38814235842883
