"","2000","2001","2002","2003"
"Ganges",42.2388596581747,42.6587556343015,43.1313753732392,52.4736278511091
"Mekong",56.7307339428326,58.8960473521586,49.5159338463339,55.9572195217468
"Irawaddy",55.0893007802202,54.5250536581858,52.9077028262491,51.0042128268562
"Luni_ext",NA,NA,NA,NA
"Indus",26.9573325052865,28.502728069909,23.5355873466705,39.7561898534681
"Brahmaputra",55.013316202867,55.3164483312529,52.5008018624155,53.2814403510658
"Salween",52.0080283485222,52.3595092722252,50.7722082844583,50.8135079781488
"Yangtze",60.2539403156444,71.4401779247962,73.6368263582833,73.3313419096442
"Yellow",36.6903536893643,30.5438754500317,34.895338755107,67.1358292120797
