"","2000","2001","2002","2003"
"Ganges",31.4194544432812,29.6450267135105,28.2827602702765,29.0744960611835
"Mekong",0.748110642160104,0.697655375397378,0.679696986245892,0.739825617848308
"Irawaddy",0.450832526356007,0.404328419628336,0.374424600441306,0.390938069788555
"Luni_ext",0,0,0,0
"Indus",42.2860688370479,49.4250213407807,39.0704479428417,35.4192438896053
"Amu_Darya",16.0309291433867,17.7260035025281,15.1282468624012,14.3288915007852
"Brahmaputra",58.5580859624451,55.2685219228162,53.6317813408034,58.6539715568915
"Syr_Darya",4.99790575025116,5.05507998560552,4.272225546219,4.10468269302822
"Salween",6.06302707808463,5.6412662168748,5.41307565716463,5.91694970500461
"Tarim",18.3275205850096,20.3554662690563,16.6606826085948,13.8046429529612
"Ili",8.17950475747786,7.82740548425464,7.61130267343153,5.39220125069042
"Inner_Tibetan_Plateau",6.52917066707193,6.52271776569864,6.89131883179117,5.43473104703676
"Yangtze",4.61497539046089,4.15241213724986,4.22985420912369,4.70615502726026
"Inner_Tibetan_Plateau_extended",2.91447168341789,3.30840256369198,3.39677223426937,1.71425198088874
"Yellow",0.0959695484436973,0.102570710109825,0.0963529556235277,0.0911076430922565
