"","2000","2001","2002","2003"
"Ganges",2.52095340501578,2.30612909469108,2.43977169183951,1.26951534375131
"Mekong",0.000818889604070544,0.00097222576039951,0.00106094539343282,0.0011226374108775
"Irawaddy",0.000167278570119788,0.000144567338154862,0.000147044836372771,0.000130328855742614
"Luni_ext",0.450570204930928,0.373125195030559,0.373391606025079,0.221236774657142
"Indus",15.7143997731604,13.9030210387048,13.0696182856059,7.85177487896644
"Amu_Darya",2.26566543357469,2.40702841204348,1.58262541865847,1.24606550375401
"Brahmaputra",0.0433758337621994,0.0516068101913885,0.0423645914102859,0.0363413417860417
"Syr_Darya",0.464008811545574,0.435329444975564,0.401671072954543,0.275061767513455
"Salween",0.0038063061560805,0.00418162645176709,0.00420061732062752,0.00390860930274984
"Tarim",1.41046919587278,1.41534720034805,1.22397437445867,0.776286175810347
"Ili",1.01140479018166,0.988418295253013,0.932025085769341,0.7528327164834
"Inner_Tibetan_Plateau",0.00100762782229169,0.00140899940987605,0.000425109109420046,0.000349714108889483
"Yangtze",0.0351367675599951,0.0894123048405158,0.043387966591294,0.0558932184026094
"Inner_Tibetan_Plateau_extended",0.129156284985835,0.194815115110089,0.0967970548901225,0.0643724583363082
"Yellow",0.0116268112904413,0.0107079729286938,0.0138476177724859,0.00855331523291028
