"","2000","2001","2002","2003"
"Ganges",0.00569361987446625,0.00558139910396104,0.00710303330974147,0.00269287295012335
"Mekong",1.68815832740742e-07,5.71978515825833e-07,1.39168909814506e-06,6.67721282542736e-07
"Irawaddy",1.35328977707209e-09,1.96514769724672e-10,8.9882325161227e-11,3.01834563260744e-10
"Luni_ext",0.000858854632479484,0.000723953924914183,0.000713617101711057,0.000371579100083532
"Indus",0.030286207179604,0.027266873880885,0.0265626825772012,0.0135517280183586
"Amu_Darya",0.00196814914022363,0.00211699374986996,0.00120613934674184,0.00108304749505447
"Brahmaputra",2.41811826826644e-05,3.46705966615955e-05,3.09102028938228e-05,3.04627965713546e-05
"Syr_Darya",0.000493572017128018,0.000467010214388092,0.000312795442697416,0.000263330129978382
"Salween",1.10023856060206e-09,1.64378117477255e-12,2.12433643928819e-17,7.05292935439443e-20
"Tarim",0.00396417178066691,0.00404749516774031,0.00316696058326873,0.00218769819202086
"Ili",0.00401414835841082,0.00380971265702281,0.00363701151164623,0.00303668498618889
"Inner_Tibetan_Plateau",8.40814445520929e-06,1.28744553633668e-05,5.13060230329463e-06,3.23905772186012e-06
"Yangtze",0.000154389314644022,0.000410393287785693,0.000189551717736289,0.000307750415950138
"Inner_Tibetan_Plateau_extended",0.00041930010342892,0.000635037926860281,0.000266829083305533,0.000174683047398835
"Yellow",2.06724840616747e-05,1.71242544033644e-05,2.98300754724062e-05,1.60773897495921e-05
