"","2000","2001","2002","2003"
"Ganges",3.2095413848506,2.86715607323135,3.27459126304691,1.64675520343271
"Mekong",0.00163478999622081,0.00208701209308129,0.00199813933988382,0.00223775979394655
"Irawaddy",0.000215675160533949,0.000194901728192994,0.000190923201623693,0.000178338724685167
"Luni_ext",0.352165129135856,0.298448386618868,0.298816142281878,0.161325200214281
"Indus",13.5813266527359,12.2152965679034,11.8293475053764,6.53475609351033
"Amu_Darya",0.971349768890883,1.05515018360349,0.600347160071867,0.554651551638003
"Brahmaputra",0.0965738916676569,0.113972384563042,0.0926042860849236,0.0833365604249996
"Syr_Darya",0.256723696732664,0.240721113192324,0.164188670642601,0.140247245754043
"Salween",0.00908135129865419,0.00995995806474057,0.0100987825910295,0.00937634345980046
"Tarim",2.18644890468777,2.23157499797017,1.79450727882797,1.25619524323455
"Ili",1.88359060704037,1.78217190867126,1.6802529735537,1.40697198887451
"Inner_Tibetan_Plateau",0.00306385561124172,0.00469264197274554,0.00184770338839275,0.00117979076331504
"Yangtze",0.0707631140201669,0.174481702871054,0.0883511366353282,0.133468371170881
"Inner_Tibetan_Plateau_extended",0.234917388296838,0.362176890303222,0.179207789691696,0.114756217443003
"Yellow",0.0156570433670989,0.0135472984590464,0.0205034976598471,0.0103571372884973
