"","2000","2001","2002","2003"
"Ganges",0.457765441512203,0.447434708664643,0.564809714703802,0.235584680284696
"Mekong",0.000123777782930334,0.000403780785663456,0.000939471848847176,0.000443765849967977
"Irawaddy",2.86299898351137e-06,4.18321439884761e-07,1.86949380617583e-07,6.26786411538359e-07
"Luni_ext",0.526080542164099,0.476315923841508,0.440932815813053,0.266905678266391
"Indus",2.44377248277844,2.31559540565417,2.11382463775401,1.26415760242589
"Amu_Darya",1.86123500657802,2.01841500277276,1.24185991224827,1.20961071287508
"Brahmaputra",0.00966107387696562,0.0134614226919401,0.0122537498188862,0.0121718360632045
"Syr_Darya",0.956768880597618,0.973545365239718,0.656248003903328,0.650299550627733
"Salween",9.76999972598139e-06,1.36943613301132e-08,1.77143280062083e-13,5.98076548138013e-16
"Tarim",4.55329631067415,4.66857762070403,3.56102585739444,2.77394490964302
"Ili",4.58302487136639,4.31491102613441,4.1190355760143,3.47792087415989
"Inner_Tibetan_Plateau",3.03979709291365,4.61716326612145,1.92418905830896,1.20936093639186
"Yangtze",0.0150108399015615,0.0369062938154974,0.0182930682517796,0.0296448522472039
"Inner_Tibetan_Plateau_extended",1.52199046260779,2.24536836182928,1.06386494029434,0.667084343571721
"Yellow",0.0100188612370584,0.00765611524111644,0.0136721486837756,0.00940595633686887
