"","2000","2001","2002","2003"
"Ganges",10.2151404017676,9.67162587148106,11.5780469507013,5.66391658162302
"Mekong",0.218522489066656,0.29914656529272,0.29397501832691,0.302471249975744
"Irawaddy",0.0478393079304215,0.0482038161878778,0.0509910944416221,0.0456181524561229
"Luni_ext",NA,NA,NA,NA
"Indus",32.11773292304,24.7148028195681,30.2769692394676,18.4497334665806
"Amu_Darya",6.05922314422803,5.95255542769698,3.96838553424145,3.87086154995039
"Brahmaputra",0.164919822908133,0.206215727502551,0.17266681018195,0.142081700885621
"Syr_Darya",5.1366254099482,4.76196447687839,3.84316485322062,3.41676217731158
"Salween",0.149782463144187,0.176555363314484,0.186562746036312,0.158465829984491
"Tarim",11.9298674064844,10.9630256977338,10.770910898346,9.09980249047354
"Ili",23.0281742341229,22.7683606305591,22.0757608210601,26.09272027253
"Inner_Tibetan_Plateau",0.0469256474898631,0.0719430479948555,0.0268120432894338,0.0217083559996646
"Yangtze",1.53333675768745,4.20193605798034,2.0887513438349,2.83603855796865
"Inner_Tibetan_Plateau_extended",8.06037641859477,10.9471832200207,5.27582591154342,6.69424441227766
"Yellow",16.3145952242179,13.2077651061799,21.2795731352122,11.3680224149906
