"","2000","2001","2002","2003","2004","2005"
"Ganges",0.00528681086534911,0.00531581547897048,0.00718235993545119,0.0157658236903385,0.014047387656841,0.00972690539839507
"Mekong",5.00099017923022e-07,1.92691341115471e-06,2.04667783126689e-07,5.99216561332749e-07,4.00210815686522e-07,1.40956211565361e-06
"Irawaddy",3.82070463478893e-08,5.06457705196323e-08,2.6285042711868e-08,5.72512166097901e-08,1.80030040752608e-08,5.16492570458883e-09
"Luni_ext",0.000622739939692635,0.000489842180176387,0.000542105967445123,0.000741456903808651,0.000691504998674377,0.000803355917302161
"Indus",0.0241388072442798,0.019704033618075,0.0222824296044778,0.032355919264686,0.0327948794112313,0.0347227548243122
"Amu_Darya",0.00118636899924904,0.0008220435020898,0.00090435618458631,0.00107251049063356,0.00113214397290588,0.00087602153661711
"Brahmaputra",6.2340929157202e-05,0.000131517998266381,6.68585040535749e-05,0.000578364884833543,7.77219335590041e-05,0.000141613916406062
"Syr_Darya",0.000494898883726429,0.000442767636679463,0.000456080194470083,0.000455790796767652,0.000534603986903239,0.000460020820875047
"Salween",7.29252151051335e-11,1.28442008872686e-08,5.23575631959628e-11,3.88754735278551e-10,5.22282602434873e-11,6.37739911379888e-09
"Tarim",0.00423898487013508,0.00311862848176641,0.00357736968647581,0.00320903421294081,0.00364445030578839,0.00485806521351416
"Ili",0.00475007688350214,0.00387893981153564,0.00445597187790606,0.00335881956668686,0.00414362029483833,0.00508510268678302
"Inner_Tibetan_Plateau",6.64448861529634e-06,4.25228303362838e-06,5.00601759538779e-06,5.47743932349932e-06,5.67906254212659e-06,6.60882767850687e-06
"Yangtze",0.000237624872331296,0.000436081719568072,0.000176967251218737,0.000269107003761027,0.000330859376476209,0.000470008181434224
"Inner_Tibetan_Plateau_extended",0.000483410201247598,0.00032992298559658,0.000524128701084769,0.000427065754339613,0.000753747754318193,0.000772422420149078
"Yellow",1.2672365810068e-05,1.32471606281208e-05,2.26348498812829e-05,1.38765920204182e-05,2.7132396080317e-05,1.48570838017448e-05
