"","2000","2001","2002","2003","2004","2005"
"Ganges",46.4208828452778,44.4657845989975,48.3494761877816,35.6527831436696,33.2071096659803,39.0584310144381
"Mekong",61.6348629135193,47.9706158971105,56.4605085619285,57.3169124769392,52.9900125047732,55.7984440224287
"Irawaddy",55.9442597397703,53.0155004715875,59.0081393937226,56.7205554248987,55.5662606860846,55.0976829222634
"Luni_ext",NA,NA,NA,NA,NA,NA
"Indus",34.8117921570249,39.0276611823272,35.4399088904612,29.3351741445561,31.391375138088,35.1840111566921
"Brahmaputra",52.1617287514604,53.4604918385219,55.9919018816209,55.0996335385599,53.5820899068052,55.3054333936236
"Salween",52.6712093479362,49.7400028114847,54.7267988070368,51.2375661373069,51.6182984635798,50.9314889797122
"Yangtze",91.7458274205,74.0322346457403,66.5624957139627,69.7175928000792,65.8897569727683,84.1729921596173
"Yellow",38.733724348805,58.8351187977762,36.8808138634502,32.2184997870957,37.3629027498917,38.5009315355031
