"","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ganges",44.3835775448022,40.8133987639002,40.0172201931903,47.2954268261237,39.7174225824398,42.1983096810012,36.9907947188164,36.6596877427597,45.1944392987122,43.8816983839082,50.3742584399614,43.7957086820786,39.2700888428977,43.9171054803904,41.2524748979209,50.9965178075127,49.5742393982839,44.4927755910621,50.9333437707522,47.454004083456,41.9478918572557,42.2404563526146,42.6855611883854,51.9943831518816,42.7312564102496,40.0943545849941,37.963239808159,46.803561862832,50.2945716413589,43.8618281202978,51.0262818444141,48.3785747920244,53.6759718551746,49.3514851112532,44.9789843098391,40.4698976643072,47.4193889384672
"Mekong",53.4862535356898,58.7103170513721,55.6039942198787,53.1218868726701,53.9775118721288,59.5611890739758,53.9106177653014,51.3775657721697,59.6134173566589,61.9173946304601,57.1207836196832,54.4645534341023,56.2348621349594,51.0355887950467,67.1376892675399,51.434730886783,53.9285575571879,52.3031195716352,53.299172840966,60.1019225346221,56.8352926069149,58.7804204699367,49.5569519583523,55.9796587138163,60.0519475540813,52.9386031091174,54.3510062385517,50.1770446523267,53.4379682063271,55.0454344439113,49.1972509239563,57.3601725785359,52.9067387143953,49.5812725324248,53.4775459139349,52.7291441265377,51.3744764410204
"Irawaddy",54.2084132100989,54.8615222740746,50.9116872841539,59.1888669134703,57.1397185405582,53.8339824361822,56.1275792432579,54.7951348139641,56.8096727163433,59.6358904299541,54.027025824481,54.489520664705,62.7032400968603,56.6864466416744,55.2951795839875,59.6079794248672,60.0530960714087,58.3081629691231,58.9149662022571,65.1646601242075,55.0985379964842,54.5006388528766,52.8115460491938,50.9816500561824,53.1889202061989,54.6006797680892,50.9400839225897,55.3756929392761,52.871517140192,53.8449866563192,62.0976757153768,54.9517975922323,55.0576678802466,53.1732175401387,51.2140758407,54.8771806158985,59.6804731965944
"Luni_ext",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indus",31.8129888978636,33.9879424280162,36.3256975551431,40.1040480034866,35.6297945998109,32.4936083817828,38.6249636677895,30.8442837858358,32.712314305135,34.2681512968852,35.1440430575289,43.7603852247226,44.2911051258206,35.2781417513685,35.2722926793598,40.7417162246449,37.6893124308653,34.6449468233914,35.2959244481358,28.6022312250516,26.3897662833084,28.0777753229064,23.2411551293951,39.9969987540495,28.986057802309,39.1080708042345,36.192134214168,44.4262870979228,36.5452536947422,33.1334332407853,36.578710925242,38.2231321249382,33.2232388546758,43.1736633188175,35.2235286598101,44.1257702702733,37.5093249314628
"Brahmaputra",53.4397264159122,54.2117868291694,51.6899632237566,55.0672449820074,56.3669100708514,54.3821692889503,52.9196586602578,52.0077365303923,54.3208660531888,54.9721241509991,54.5540936204137,55.5163928620819,54.1460975799365,54.4708269035222,56.6625049860539,55.2544998617515,56.06362379913,51.6916692924365,55.5843802297035,58.8399201003543,55.0402995379895,55.4165995183196,52.4892684682982,53.3098518354817,55.7068150815114,55.8833914705708,54.2710634781887,56.011181849362,52.6328175826905,54.6278346256109,58.7984853838495,53.8801804743768,52.4862872593389,54.9942197376032,51.7376090221767,53.6212496440753,58.399303901511
"Salween",49.7768586139064,53.6041026682307,51.0632667081773,52.1121060875825,52.6670008801358,53.7926845354303,50.0035469382704,51.0000303151988,53.1013936421274,52.0112937547365,51.965927223351,51.479964848576,51.309956963018,49.7317384639857,54.639934686459,53.0126369683909,52.0938423127392,48.6420165490454,51.9659905389016,57.6775662591225,52.0362907944559,52.3492155694064,50.775194099572,50.8246179865852,51.8786388167746,48.8799406515649,51.766511843926,51.8805486560742,52.5378775327653,51.3701110197285,52.0944609732745,52.8990148018465,50.2964625210091,49.3078275334138,49.4330669836049,52.7692138712198,52.631141768375
"Yangtze",68.6460225339722,67.9481024268356,64.6214379600292,70.1385588380595,61.5585579111475,64.9736531722861,64.2370341540095,65.482762284829,59.0057957330263,71.814452043206,77.0289051093058,71.4224885282685,80.8941224394306,62.860366290291,67.2186108685548,69.0622471110218,63.6883713108823,64.2920158790275,73.3123815801155,62.3704818787055,60.4199732850755,71.6858692926675,74.0632766337564,73.5260668942529,71.2345846367802,69.2216559640502,74.6745315815588,62.6038190636819,65.7041946744394,68.1884370836073,75.9339733372471,63.5726479007157,68.9616026654243,71.0783582226011,65.863267752859,72.4244289774283,85.1809482277409
"Yellow",26.5513115018637,23.3806992600352,21.3528563928666,27.1447783102214,24.2271282687536,22.0891537892404,11.108398803479,16.2680278187183,38.8665430740878,39.2478766070806,42.1029014935535,24.7789906409186,66.7545611457395,35.5443610451455,22.6052653414534,39.836405514424,40.0187829021437,33.291209248521,44.9285283004632,33.4939873023899,35.8898083263222,30.1102845504048,34.2424806325757,65.0384746277185,48.1749872142188,32.3405297930735,25.3124819198166,40.6753320119361,34.3682979395736,25.0704498893935,28.3873354931878,36.9008900041809,33.3270700233618,27.2837885844493,41.5256932068662,32.6806890014301,26.2935539048502
