"","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ganges",0.00528257309909259,0.00425622299033139,0.00606188641077259,0.00238097051479191,0.00751671164092674,0.00506103009784801,0.00608059978714612,0.0112092269834341,0.0035370925316412,0.00412621550745152,0.00462031578596426,0.00642432008240222,0.00549890625915001,0.00558488759018178,0.0072173571159719,0.00637806040827133,0.0039621184593277,0.00327766621946437,0.00538303443238694,0.00498942507066392,0.00569361986645627,0.00558139910369617,0.00710303330320588,0.00269287295014122,0.00632550781149057,0.00507792646533202,0.00828597119364577,0.00675357910963569,0.00449446260997396,0.00585711236390816,0.00373117392745032,0.00432282865164651,0.0063586613391875,0.0061135962547101,0.00884773169075008,0.00729152179825485,0.00865700599859676
"Mekong",1.98954444380549e-07,1.05535752141788e-07,4.81078681278416e-07,3.57464510416082e-07,2.31553324990461e-07,1.67576982751814e-07,2.10574234678439e-06,3.15342962932892e-06,1.75303374571556e-06,7.14862736394566e-07,1.02916447876332e-07,3.20036729410563e-07,1.22870855113588e-06,2.72883575050538e-07,7.48531446955284e-07,5.85067272030177e-07,3.171003080107e-07,2.24344445232303e-06,1.09654672468438e-06,2.74750418364283e-07,1.68815832474442e-07,5.71978515854515e-07,1.39168910981966e-06,6.67721280925898e-07,4.98070845068264e-07,1.19684655281045e-06,4.50066682980336e-07,3.43347192644225e-07,1.01939607920667e-07,6.68161690058374e-07,1.82396026645212e-06,5.65743621158848e-07,8.02117947551602e-07,8.34242673020078e-07,4.50949575295221e-07,2.05606239897007e-06,6.55861822622384e-07
"Irawaddy",5.60911174766588e-09,3.79154097684086e-10,9.32578683518302e-09,6.18915377921495e-08,9.53718883899206e-11,1.29210386171047e-08,3.26766303702172e-08,5.0345110023801e-08,1.54700558660888e-09,7.93443472602125e-10,1.02953206715442e-10,6.66262521702225e-09,2.23630152928499e-09,8.66113451879487e-11,8.69663277477975e-10,9.64932980355914e-09,8.59875523563984e-11,8.81595574999364e-10,4.27150607024405e-08,1.66561180357081e-08,1.35328977034626e-09,1.96514765772362e-10,8.98823248713724e-11,3.01834563107461e-10,5.78627993049527e-10,2.11258332737087e-08,8.84753948295622e-11,9.636353177944e-11,4.66600112796866e-13,2.66525651053758e-10,8.06760751302734e-09,2.24297277133414e-11,1.02993241780895e-09,5.36110762175094e-11,8.92494962148418e-09,2.8072757377491e-09,1.27402016056583e-09
"Luni_ext",0.000739045646157967,0.000635128724846694,0.000645753515747795,0.000419116465201933,0.000738261491763142,0.000637004004647271,0.000622567083315711,0.000648138269363484,0.000536032008020753,0.000522598171045541,0.000650877601560395,0.00062927342761321,0.000449352064222245,0.000658338022847521,0.000421387149298659,0.000506055246051864,0.00049799906930874,0.000597208123162812,0.000522651918205638,0.000681642239928174,0.000858854633070927,0.000723953926069923,0.000713617101940769,0.000371579100433977,0.000592699464984885,0.000444038638285894,0.000538892643470468,0.000744504965528867,0.000723179861861626,0.00058726026875645,0.000457664883518103,0.000556775012887721,0.000575549664482658,0.000653515733379683,0.000797349983704587,0.00069480158043756,0.000797914860395693
"Indus",0.0270117485051949,0.0224113386624843,0.0225932920649051,0.0134669408191861,0.0261621488817528,0.0229145681403068,0.021087092012962,0.0245795893033018,0.0165907508292602,0.0184064059826518,0.0239973211033842,0.0221259827930457,0.0147751690403098,0.0231442704696091,0.0145607538956605,0.0157524068347297,0.0185633199842314,0.0204218047744789,0.0197848794624997,0.0249757643623044,0.0302862071766563,0.0272668739046235,0.026562682586318,0.0135517280207015,0.0235219505566877,0.015259890252374,0.0175907759684999,0.0281297314288313,0.0219884113232872,0.0221514451878533,0.013777905015368,0.019635054150151,0.020306244716621,0.0250374667671627,0.0269999048311636,0.0215370428371589,0.0309665630072683
"Amu_Darya",0.00152707757101351,0.00106100740747837,0.00118540220898761,0.00150421500685584,0.00201385247313176,0.00151028100259852,0.00160862049342071,0.000810083185778581,0.00122571629552601,0.000985818419460714,0.00160388755018596,0.00105812777237511,0.000806992512824812,0.000902265946943818,0.001471621295111,0.00137260182419672,0.00121174804671343,0.0015713650767158,0.00102464189376439,0.00129063216544464,0.0019681491380067,0.00211699374991869,0.00120613934559839,0.00108304749439533,0.000883853521647775,0.000803027682326372,0.00156546752379116,0.00136191525069231,0.00195551376185596,0.000772648608272661,0.000931414050870029,0.00191111728242091,0.00091459770095521,0.00159687300683183,0.0015221308220889,0.00141488091976259,0.00179112978011805
"Brahmaputra",5.01133221494575e-05,3.77319490245474e-05,9.13907849303557e-05,5.21977204030556e-05,7.23643376998538e-05,9.75671064975996e-05,9.5866950587188e-05,0.000155284178982751,5.01500693145478e-05,6.34880308145579e-05,2.00756735101042e-05,3.63996985480148e-05,0.000108129525954046,2.48208960849421e-05,9.38963614537255e-05,0.000157934031556817,6.29485053518833e-05,5.43360395056959e-05,5.81886850505998e-05,0.00012570299774161,2.41811826059755e-05,3.46705965998666e-05,3.09102028531195e-05,3.04627965648808e-05,4.92554712208758e-05,9.2679023704412e-05,8.78866461261194e-05,8.64424255143912e-05,7.83662435902865e-05,6.80541238592598e-05,8.56425937671737e-05,3.6694584186016e-05,0.000107610496659786,5.82662850197681e-05,0.00014880486636139,4.8131386443525e-05,9.6065238521489e-05
"Syr_Darya",0.00039766500190828,0.00021955683887264,0.000338077620925311,0.000369533997767296,0.000581429678565796,0.00043939833292492,0.000424450012519632,0.000220533070394459,0.000352854406791033,0.000330198406425132,0.000529703283226641,0.000386334588841384,0.00027671516795004,0.000282188785044248,0.000451025429624636,0.000479305269477577,0.000307884658298337,0.000587409274269182,0.000358026931033287,0.000313105194402573,0.000493572017098481,0.00046701021508655,0.000312795442544221,0.000263330130345836,0.000281321220817486,0.000380138077990978,0.000546989281328673,0.000632052988389993,0.000778875519815235,0.00032755992789798,0.000349471966295629,0.000562364876593692,0.000414477704444629,0.000529803188111168,0.00080967357934478,0.000678781255226646,0.000481911458116827
"Salween",2.40312075794336e-10,5.27053435617209e-11,7.01412821763925e-15,6.65088837298409e-18,2.13389800968241e-21,6.7681264238895e-12,8.37203245099565e-13,3.07492218296669e-07,7.94681955315113e-09,1.18521412058685e-07,3.92427982399466e-09,5.90748916398122e-12,3.68076489982102e-07,2.00891102014962e-09,4.20416614518222e-12,5.65401475233602e-15,8.16430131616953e-18,8.83136991161956e-07,1.80285973197693e-08,5.33221839781533e-09,1.10023859479754e-09,1.64378114709068e-12,2.12433641653241e-17,7.05292931619095e-20,4.92367236578518e-22,6.72758777400818e-24,2.23868249906647e-25,7.25971458830073e-25,4.08203070270616e-25,2.39171149124829e-25,1.35469359917101e-08,4.09405728719563e-11,1.1665642180646e-12,1.14490586228696e-14,1.99231414528681e-17,6.61260919053564e-20,6.93207891089345e-09
"Tarim",0.00379378471877969,0.00298413327989227,0.00183292234154534,0.00206161553173536,0.00373722873722692,0.00309678362663663,0.00270466657049318,0.00148478629407516,0.00260831137005516,0.00167583332770697,0.00367992773813069,0.00232382703817567,0.00183234519696892,0.00157386319889591,0.00345645684654792,0.00303095288200887,0.00234732990883632,0.00327604776616722,0.00326164247041032,0.00314298832525585,0.00396417179159518,0.00404749515534555,0.00316696059068525,0.00218769818933933,0.00293964247982259,0.00212930883436555,0.00394914985440316,0.00524259606716598,0.00619685086522241,0.00333808321253145,0.00310191231070151,0.00362719656701609,0.00279232821063891,0.00401106042919176,0.00342352875572978,0.0036929102042623,0.00423614119599741
