"","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"Ganges",31.3371892564061,45.7887346468972,47.5756327755354,43.7434438861328,40.9616818444045,44.6072514308104,48.5780865929851,36.8410089398642,33.1772066478337,46.7410166170572,33.5354013277264,45.060285514342,42.5568142960507,43.2012948762217,46.8424535494351,38.741597094879,37.7186222467565,38.8896350717371,41.3027893815881,36.9527641723636,38.6135279327805,43.4702941035977,44.5149825111569,40.3447912322024,48.6247490340411,45.1529731758016,43.8865594394671,45.8304679231647,49.9672350654575,40.285475570351,36.0732899843108,41.9940051306106,49.961921671189,47.4968086309527,50.1153274463827,41.8769763641403,38.9356275688371,53.5488365714093,50.3529930239504,49.8147833914431,40.2138806538895,49.6640866068494,51.2278625631354,39.3893315390609,32.112920336774,31.0455100468973,30.4405484846583,33.7939970986382,34.6221233873448,32.8262067719828,37.3483943507107,38.0031718707239,33.0957843535319,39.1761503270961,37.4231759197785,37.1708548732117,31.125419924009,31.0226463319426,35.4223788775417,33.3929663858352,37.4163099620901,36.6669407987219,37.2192155575847,30.78670336767,33.0887162408418,33.0539590413103,41.4911497091916,43.3656704305151,29.6962585276199,37.6161651215824,42.3185812125192,34.1761389615317,30.2153137725096,29.418317766916,34.2367669092963,34.7708286918739,39.012600541305,36.8703772693056,32.1885637842045,34.4492794747512,39.3519607922404,36.6179822838538,33.3774118321668,37.5308321278197,38.8861891211933,39.3090363264227,32.3984588035965,36.7742479349295,35.1294820025599,36.8857762178483,41.737766205957,33.8271851859579,34.1406279134766,44.4058063601004
"Mekong",48.2560060247102,65.260176622097,63.9049818775961,54.2575387668102,58.3707047825738,63.0844875324256,53.6968407485832,54.4066073493766,53.2991857603307,53.6403700514715,51.2657101376308,58.443035946532,59.3956434487457,56.9696629806728,51.8663078500938,57.2720106994021,55.1892916873991,55.1096493065531,50.9947533550993,60.5520756745757,53.9080384729894,51.5841122184312,62.3390238016746,56.6904267591529,55.5190454023112,58.1993502860707,58.9072879566067,54.234384006807,58.0325837032037,57.1449968250966,59.5342401857339,51.1102000391369,53.9094183737842,58.6200455617372,53.7614059768401,56.9830521055808,53.3536050310302,55.4240623581039,56.2065928899991,59.949669728273,52.7127086729159,57.9409929515173,57.0281569039454,55.3889915060923,57.1022438400888,53.8971044587185,58.861014619706,54.7363583913884,60.9576756035773,57.0709785194134,62.6295354576283,60.7429320863348,60.4293559441654,55.9890994515911,54.6850310134395,57.8518309551035,56.8754470722072,55.1337889823426,58.609344264595,59.471465845995,58.1457774153909,60.0456267815087,60.3221986805103,56.5323594502481,57.554626437306,60.3300955578363,61.8420923643482,60.0852160083825,58.1897247912724,60.5424338282418,60.1988316435675,55.9709813591097,54.2730431312791,60.9129950661037,57.2177898535559,54.503401329674,64.7007232240186,56.0132397071678,62.7454284361973,57.9085641991748,53.6027193500097,58.3362736706026,57.8868190914611,52.704296224183,61.7549845517705,61.5613413470601,64.2613944305543,58.5810891785845,58.5286546223797,59.0268190414459,58.0130317002098,57.6568469689441,61.9602662829607,60.7094010547732
"Irawaddy",59.2674186423349,55.3745848207431,52.5561044656521,57.224554436621,61.1131544568021,55.43116807337,55.7694181836306,55.7487386492785,52.7628980194738,59.9750644378314,54.032907733484,55.7743921331557,56.2752127657687,50.5835015123392,59.0787907160056,57.4157440411778,60.1142136801775,58.219265869646,59.6232420777794,56.7262082552989,56.0534010022455,58.4095064411078,54.7761742593021,52.2510143807994,53.9398388070428,56.3193149044982,55.379177507811,66.7630140789956,55.8308204817878,54.4932024045853,55.0941278885867,60.6482426676692,64.8998499300992,59.2276122687529,54.1463526451535,58.8147835710799,58.1540600955505,58.8995562098269,58.4734502851195,57.1417290682779,58.7109182075735,58.9904249602195,61.3981744041533,56.930851428679,65.7139895630392,65.7864277078945,55.679865631623,58.0614563891896,61.5379982292713,63.237313863934,59.8465840934872,60.6007399774533,58.7642876539864,58.8791042987734,65.5023119430795,62.9243036709658,61.7264698854682,65.1955470880051,64.2565798486596,63.7904964495352,60.6461645575811,62.0689005216062,61.8725743676049,65.4129307619863,63.0214143303294,64.9521043276851,66.1284218500325,65.7335623947786,61.19095814468,64.1493837349472,64.7258051560458,64.0294929669943,57.7617671692384,63.5279384637221,70.4823909813583,60.1932417951034,61.0444657973041,60.7235637129809,62.606504248399,65.5667229590304,61.2691544501801,64.4723943385958,64.7473904960272,62.0462895059645,67.9732742561506,65.6006364074792,65.1816888736941,66.0147093716242,71.1760935221664,69.7437681316919,62.0462326375264,67.5202131039333,69.7983012036446,75.4464266858595
"Luni_ext",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indus",34.5698282115498,36.0652474010349,36.4625268243279,34.6375064630251,34.8435367371848,34.9680237842395,40.7340868565599,35.1804138541168,32.6060619724602,35.6475307595835,34.9926763967833,35.0414580371143,35.6861471182046,42.0717998745516,37.2083338673814,36.755847989098,29.9299321535773,38.0472956667529,37.8478515213974,33.5395828450793,33.6810843208955,33.9318543687981,34.0544184853393,41.7659042773639,36.7622074575867,35.6135607290527,37.7388250132928,34.1800967709769,34.5968714129724,35.0610130236308,33.3875762631455,35.8303311324165,36.8971815190002,34.1371224053395,35.0082117481172,32.6562762212405,39.5342911329685,48.0189720159719,39.9462415240081,38.3713304789439,34.6237360504232,37.0570774555343,39.2658577565988,31.4804758815494,33.2602205341369,40.3045931996051,33.6954628889069,38.8805304329,33.6982099200783,33.5360452586297,33.7542905293448,34.9658150501109,32.4541142934056,42.2546146838659,39.521558261532,34.6249066599511,34.8606854470767,28.4086979467634,30.7652530614324,32.4212071132444,35.1867108122072,36.0469668727162,32.0051316367562,36.2041589789769,35.4527433828487,33.9177336823818,34.4576321051605,38.461062529911,32.7640873482492,40.0223677679238,39.5463130625722,38.7191142701348,34.5244535100103,30.9710418487446,43.8085129584262,43.1007885296904,38.6314586624291,35.2705288693429,30.5301102187832,31.5844332185385,37.0473911171035,40.3886476739187,37.1678906191546,36.5158333315213,36.3152417758079,35.6068384542728,29.9683166443475,33.6055098909113,35.5787533215949,32.5765620576866,37.2546416097145,37.007248079675,37.0792377762959,33.5687419878036
"Brahmaputra",56.3110579182306,54.2893459651217,53.23600718366,55.2982663694794,55.9054714160486,55.1465546478269,58.129920934476,52.3337653885492,54.510714155592,54.8511779495443,54.1341774621423,57.1754764397338,54.9576741469933,51.9779883260681,53.7284399600613,52.3949493352106,55.7984004275025,54.6717172403209,54.6848554442928,55.2459406580061,54.2496742085155,57.34525035735,55.5572862232509,52.9803093166031,54.8066049960116,57.8716773085767,55.2644727839442,58.332883129044,57.6932906799924,55.8963248326814,55.7110028969062,58.8193921191312,58.5863454029696,58.6175627360383,53.4215645657102,57.1585490678134,56.9297111217486,60.1947717437685,56.6731562155946,61.2214040857209,56.6786942243279,55.035067093239,59.3007262779923,57.1513335718419,57.8282858599934,52.3386622206609,50.4658085582751,54.2532600773925,55.2821005779289,54.3113296809448,55.2703964999563,58.8479959249274,53.3096501416771,53.3355055764652,53.2247625923148,54.6326730677709,57.1168601374511,53.3621759162622,56.6966193044181,54.6521227243848,52.4204762191581,54.3156366623569,55.0842742595755,55.7919283094267,55.5510982202561,55.1398687517698,60.7047973835951,56.7573642997836,52.5867383523133,54.2883941598807,59.1730980556979,55.5806298893573,51.8400028105564,52.8975125545878,56.7793696992565,50.6277139156467,55.884371807729,57.2549249587687,57.053393936635,54.6527001476323,52.8921205662469,54.5682901181929,54.1389975021857,53.6094339097592,58.1635016721337,58.3631239042851,57.7589830169873,57.0743153619494,56.0482462274207,58.3538843338063,54.7776496699023,55.1672043896974,53.9783547044945,57.9203627562411
"Salween",51.1223411382525,54.6505030842512,52.3852571713502,50.3625519007601,53.1158865483438,51.6410644879471,52.3916441698285,49.2705106613787,49.8793222094586,52.8398395357284,49.6198416281449,52.2817603590848,54.0165858840567,50.7477989747009,50.8495566668516,51.8914321912258,53.3843480805188,51.2949234161083,53.4665310745875,54.8714466175011,51.7558782011919,53.4705415931069,53.2994349792757,50.3225257189293,51.3113937882533,53.9258437095653,53.4039930780419,55.3449373778438,52.6226061913679,50.5629486560194,53.7522958547992,52.6091753111543,54.9230105772065,55.1055364626604,51.1720626066704,54.2536134119689,52.522988987158,54.2457353661303,54.4732999598581,55.2919084058211,54.0330652280485,53.3516370357072,56.276679801245,53.5623911190006,55.6973546201981,54.1257566744249,53.4067464167131,53.784986128427,58.3527265969763,57.5805337470802,55.6302400413675,56.6922064398003,55.6919119162453,53.9247571833008,54.7236905551397,56.4509635094136,56.6997992638405,53.5934351245721,57.4519947314878,56.2100471078571,55.7145856938482,55.6998197100511,55.8025661488994,55.0164131681921,55.2199142066884,55.2940026429479,57.7695753599119,58.1117961777516,54.1097658760295,56.7013495044233,56.674219322451,53.6418813114463,53.6841907976556,55.0702677595671,54.2794572821432,52.7411865960025,57.8641834120438,55.5686521052857,55.3795332923684,55.5952902179583,52.2068944745187,57.5164514176929,55.9377230603116,54.8258196027943,56.3709974419113,57.8571526380368,57.3267107368411,54.8057990500225,57.6041364192513,56.6945094666363,55.4038347995037,56.4373058046768,56.8125375197243,58.2556899899124
"Yangtze",61.9611515425486,92.2820418464332,83.38570394899,73.7154334162978,75.6332858477875,81.0497567923281,73.4075781150253,83.5323678299378,77.5554858207386,86.7943658457166,67.3746650472398,74.3653446559764,86.4357598643337,81.4056540961553,71.4393619770649,81.4124471099261,67.2119090731819,79.0007082304047,73.1869419516018,79.6387395370523,71.8896111216877,69.9471244702306,75.1897699583008,74.0389856655742,75.3018416986583,74.0227411871089,68.0800508280466,83.5523027596041,87.4831777967393,77.1947741093542,76.2267572888015,74.9254565537827,74.9504858052822,94.1116353751558,79.0681539646521,84.0162225962963,63.7255929390533,90.4533021177072,79.4362829242703,78.0906194633882,72.5782058022318,91.7864639416923,68.4817884238473,79.4800037886145,71.4151893098346,63.253337389881,73.4562224067524,63.7211413787453,67.4009236024916,74.1369180858628,75.1171727588801,83.6316737843334,79.9453458496812,65.2543868417638,76.3882557490172,63.1844421909837,68.1254010314663,67.3471991622591,67.4097725741226,62.1930389808041,76.3701978870043,76.6930708728389,65.3332776284599,75.3575638931684,68.5915583834302,68.5844991378467,73.6155459981489,79.7137091207231,71.5256621128619,67.899340034941,69.4886491275163,68.4217217265769,61.1149888611716,75.9069299901799,65.0183697869617,60.6058779753036,88.9713922726151,73.4608401825686,84.1475944752099,70.6902456228996,64.7283780614541,67.4128811530281,59.9666152519516,60.3551625880133,75.2716548981301,73.8091218340871,77.5543332971264,65.3654575622082,59.380500989816,62.0790828711638,71.1039572700707,69.7723585160659,70.2995342968299,65.0597797243603
"Yellow",49.2476819099107,56.9109478234715,39.9704827162807,34.6275893480473,35.2079723625719,39.2146449031719,31.1994928754679,56.2205987580078,35.6648762187789,43.1582907637775,31.9234425055809,23.82698598991,21.0295898496044,48.3729558659976,58.5121315755386,37.4796123687406,80.8577145134354,25.6361000116278,57.9330266835157,39.9466524955647,30.0136559041906,96.4402095350322,34.812118867837,37.0735970506712,29.7218854447476,31.5030063978635,44.647324308415,63.0689341238455,33.2881204449349,23.7211976423803,34.9433889785119,25.9987951591974,61.365793564241,41.0941101712752,60.9377574682525,35.4039058331101,37.0257914344303,33.2212129340918,51.6645243218238,39.2010285393433,77.7978452861939,43.9013252553898,74.0389053313207,43.9776090111217,129.089169405856,308.7132001089,685.375344927077,336.943974745125,376.790731384092,323.928169595995,361.512762245201,418.48210722251,322.31748513667,343.403655519041,331.322486250209,663.011828348024,273.745540492041,601.333940811175,469.128925296137,264.663366847624,365.915446515242,221.983089035381,343.236814457122,418.498660924231,451.994955268012,338.82427284755,682.580790612437,830.765030715158,495.603336693459,353.862833262761,585.149062503435,450.418970816595,723.916196396969,923.61288067284,830.518900060233,1070.52546874811,489.313829974578,683.572547940289,415.9654439911,490.389316836394,496.380629915383,479.434150393575,428.361993335917,521.79294120179,958.80427032966,926.672867113535,768.814309802336,610.171402143218,784.924181675623,972.223439699584,905.188408738608,485.086385069072,323.293542415507,536.879342844392
